wkt,address_street,lat_geocoded,lon_geocoded,scientific_name,common_name,fruit_period,tree_id
POINT (-122.418506771428568 37.732240245976463),600 Alemany Blvd,37.7322401,-122.4184282,Ficus carica,Black Mission fig,"""summer",171623
POINT (-122.418504985714279 37.732240242658811),600 Alemany Blvd,37.7322401,-122.4184282,Ficus carica,Black Mission fig,"""summer",171624
POINT (-122.418503199999989 37.732240239341166),600 Alemany Blvd,37.7322401,-122.4184282,Ficus carica,Black Mission fig,"""summer",171625
POINT (-122.438116818666458 37.76261936844972),4128 17th Street,,,Ficus carica,Black Mission fig,"""summer",182573
POINT (-122.405910193920135 37.797282441169223),201 Columbus Avenue,,,Ficus carica,Black Mission fig,"""summer",182743
POINT (-122.447942365656587 37.767130522013019),Frederick St & Clayton St,,,Ficus carica,Brown Turkey fig,"""summer",639
POINT (-122.46375902719943 37.7808988800736),4131 Geary Boulevard,,,Ficus carica,Brown Turkey fig,"""summer",2613
POINT (-122.463812538610213 37.780899502245838),4131 geary blvd ste 127,,,Ficus carica,Brown Turkey fig,"""summer",2614
POINT (-122.46387288832932 37.780884662893229),4131 geary blvd ste 127,,,Ficus carica,Brown Turkey fig,"""summer",2615
POINT (-122.463846066242922 37.780869823526999),4131 geary blvd ste 127,,,Ficus carica,Brown Turkey fig,"""summer",2616
POINT (-122.463800468666392 37.780894202473995),4131 geary blvd ste 127,,,Ficus carica,Brown Turkey fig,"""summer",2617
POINT (-122.463805833108822 37.780865583707424),4131 geary blvd ste 127,,,Ficus carica,Brown Turkey fig,"""summer",2618
POINT (-122.454928100000004 37.761457999999998),254 Edgewood Avenue,,,Juglans californica,California walnut,fall,230
POINT (-122.471035900000004 37.710564099999999),1501 Junipero Serra Blvd,37.7105641,-122.4710359,Juglans californica,California walnut,fall,102881
POINT (-122.442399259344299 37.797650499999996),3001-3035 Divisadero Street,37.7976555,-122.4423991,Malus,Callaway Apple,"""summer",123959
POINT (-122.453185486196318 37.733129482701187),690 Mangels Ave,37.733178,-122.453171,Malus,Callaway Apple,"""summer",130558
POINT (-122.453192986196314 37.733129490479996),690 Mangels Ave,37.733178,-122.453171,Malus,Callaway Apple,"""summer",130559
POINT (-122.453170486196314 37.733129467143563),690 Mangels Ave,37.733178,-122.453171,Malus,Callaway Apple,"""summer",130560
POINT (-122.453200486196309 37.733129498258812),690 Mangels Avenue,37.733178,-122.453171,Malus,Callaway Apple,"""summer",130561
POINT (-122.453177986196309 37.733129474922372),690 Mangels Ave,37.733178,-122.453171,Malus,Callaway Apple,"""summer",130562
POINT (-122.454048053378514 37.732940971258586),735 Mangels Avenue,37.732807,-122.454,Malus,Callaway Apple,"""summer",130563
POINT (-122.486894883917842 37.778868873684232),557 27th Ave,37.778857,-122.487122,Malus,Callaway Apple,"""summer",136488
POINT (-122.398858333672521 37.731075841361786),132 Apollo St,37.73112,-122.399116,Malus,Callaway Apple,"""summer",137764
POINT (-122.435622739252338 37.735736443530953),227 Surrey St,37.735603,-122.435705,Malus,Callaway Apple,"""summer",138565
POINT (-122.42822391962433 37.74835911874915),3949 26th Street,37.748188,-122.428209,Malus,Callaway Apple,"""summer",141710
POINT (-122.453426907303566 37.732967480325101),336 Ridgewood Avenue,,,Malus,Callaway Apple,"""summer",163451
POINT (-122.455284189067655 37.732742059563229),285-295 Hazelwood Avenue,37.73275,-122.455466,Malus,Callaway Apple,"""summer",163672
POINT (-122.428576199999995 37.771290200000003),94 Webster Street,,,Ceratonia siliqua,Carob,"""summer",2
POINT (-122.449871599674225 37.7649687708779),957 Cole St,,,Ceratonia siliqua,Carob,"""summer",76
POINT (-122.39861990924868 37.72203128311584),55 exeter st,,,Ceratonia siliqua,Carob,"""summer",516
POINT (-122.42578536272049 37.756761440392715),Dolores St,37.7567244,-122.4257139,Ceratonia siliqua,Carob,"""summer",91476
