27688,Phoenix canariensis,Canary island date palm,0,498,
27689,Phoenix dactylifera,Date palm,1,5,fall
27692,Phoenix roebelenii,Pygmy date palm,0,1,
27731,Photinia xfraseri,Fraser photinia,0,344,
28138,Pinus brutia,Turkish pine,0,9,
28140,Pinus canariensis,Canary island pine,0,73,
28172,Pinus muricata,Bishop pine,0,0,
28180,Pinus pinaster,Maritime pine,0,1,
28181,Pinus pinea,Itailian stone pine,0,69,
28186,Pinus radiata,Monterey pine,0,570,
28200,Pinus thunbergii,Japanese black pine,0,4,
28201,Pinus torreyana,Torrey pine,0,3,
28310,Pistacia chinensis,Chinese pistache,0,112,
28334,Pittosporum crassifolium,Seaside box,0,1151,
28347,Pittosporum tenuifolium,Tarata box,0,16,
28349,Pittosporum tobira,Tobira,0,3,
28350,Pittosporum undulatum,Victorian box,0,1977,
28871,Podocarpus macrophyllus,Yew podocarpus,1,27,fall
29312,Populus xcanadensis,Carolina poplar,0,4,
29313,Populus xcanadensis,Carolina poplar,1,1,
29333,Populus nigra,Lombardy poplar,1,8,
29792,Prunus cerasifera,Cherry plum,0,2858,
29795,Prunus dulcis,Sweet almond,1,11,fall
29806,Prunus ilicifolia,Hollyleaf cherry,1,15,summer
29809,Prunus lusitanica,Portugal laurel,0,0,
29835,Prunus serrulata,Kwanzan cherry,0,2219,
29848,Prunus xyedoensis,Yoshino flowering cherry,0,45,
30012,Pseudotsuga menziesii,Douglas fir,0,20,
30503,Pyrus calleryana,Callery pear,0,866,
30504,Pyrus calleryana,Bradford pear,0,63,
30532,Quercus agrifolia,Coast live oak,0,246,
30568,Quercus coccinea,Scarlet oak,0,55,
30580,Quercus douglasii,Blue oak,0,3,
30620,Quercus ilex,Holly oak,0,26,
30634,Quercus kelloggii,California black oak,0,4,
30639,Quercus lobata,Valley oak,0,6,
30691,Quercus rubra,Northern red oak,0,17,
30710,Quercus suber,Cork oak,0,117,
30736,Quillaja saponaria,Soapbark tree,0,6,
31070,Rhamnus alaternus,Italian buckthorn,0,465,
31090,Rhaphiolepis indica,India hawthorn,0,18,
31267,Rhus lancea,African sumac,0,11,
31647,Robinia xambigua,Pink-flowered locust,0,103,
31653,Robinia pseudoacacia,Black locust,0,4,
32506,Salix xpendulina,Wisconsin weeping willow,0,7,
32697,Sambucus nigra,Black elderberry,0,6,
33109,Schinus molle,California peppertree,0,124,
33111,Schinus terebinthifolius,Brazilian peppertree,0,484,
33812,Sequoia sempervirens,Coast redwood,0,54,
33814,Sequoiadendron giganteum,Giant sequoia,0,11,
35533,Styphnolobium japonicum,Japanese pagoda tree,0,5,
35592,Syagrus romanzoffiana,Queen palm,0,84,
35787,Syzygium paniculatum,Brush cherry,0,30,
35907,Taxodium distichum,Bald cypress,0,4,
35910,Taxus baccata,English yew,0,3,
35911,Taxus baccata,English yew,1,2,
36543,Tibouchina urvilleana,Princess-flower,0,4,
36557,Tilia cordata,Littleleaf linden,0,14,
36797,Trachycarpus fortunei,Windmill palm,0,177,
36938,Triadica sebifera,Tallowtree,0,1,
37443,Tristaniopsis laurina,Water gum,0,2227,
37616,Ulmus americana,American elm,0,24,
37622,Ulmus parvifolia,Chinese elm,0,654,
37623,Ulmus parvifolia,Elsmo Chinese elm,0,10,
37624,Ulmus procera,English elm,0,2,
37625,Ulmus pumila,Siberian elm,0,329,
37642,Umbellularia californica,California laurel,0,3,
38661,Washingtonia filifera,California palm,0,59,
38662,Washingtonia robusta,Mexican fan palm,1,318,summer
38979,Yucca gloriosa,Spanish dagger yucca,0,4,
38980,Yucca guatemalensis,Giant yucca,0,30,
39151,Acacia baileyana,Purple leaf acacia,0,38,
39158,Acer rubrum,Armstrong red maple,0,38,
39160,Acer rubrum,October Glory red maple,0,6,
39161,Acer rubrum,Red Sunset red maple,0,137,
39163,Aesculus carnea,Ruby red horsechestnut,,9,
39165,Agonis flexuosa,Peppermint tree,0,524,
39167,Arbutus,Marina arbutus,,602,
39168,Archontophoenix cunninghamiana,King palm,0,1,
39170,Azara microphylla,Boxleaf azara,0,4,
39173,Brachychiton populneus,Bottle tree,0,3,
39174,Brahea edulis,Guadalupe palm,1,34,summer
39176,Carpinus betulus,Fastigiata European hornbeam,0,4,
39177,Caryota maxima,Himalayan fishtail palm,0,4,
39181,Cedrus atlantica,Blue atlas cedar,0,9,
39182,Cedrus atlantica,Atlas cedar,0,6,
39186,Cercis occidentalis,Western redbud,0,13,
39187,Chionanthus retusus,Chinese fringetree,0,2,
39191,Citrus,Bearss lime,1,23,"spring, fall, winter"
39201,Crinodendron patagua,Lily of the valley tree,0,4,
39203,Dodonaea viscosa,Purpurea hopseed,0,6,
39204,Elaeocarpus decipiens,Japanese blueberry tree,0,4,
39206,Eriobotrya deflexa,Bronze loquat,0,1148,
39208,Ficus carica,Black Mission fig,1,17,"summer, fall"
39212,Ficus macrophylla,Australian banyan,1,48,fall
39216,Fraxinus angustifolia,Narrow-leaf ash,0,7,
39217,Fraxinus holotricha,Balkan ash,0,8,
39219,Fraxinus velutina,Glabra velvet ash,0,12,
39221,Fraxinus,Moraine ash,0,23,
39222,Fraxinus,Raywood ash,0,141,
